书名,编绘,出版社,出版月份,开本,印数（千册）,页数,定价,年,来源,
死不着,侯逸民等,大众图画,12月,,100,,0.24元,1950,Ref004: 6,
死不着结婚,汪健、凌涛等,人民书报,8月,,,,0.30元,1950,Ref004: 6,
百年来的血债,叶苗等,群联,12月,,,,0.27元,1950,Ref004: 6,
百万雄师渡长江,陈江风、黄一德,华东书店,2月,,,,0.25元,1950,Ref004: 6,
有了土地多生产,逯斐、红叶,周家,11月,,,,0.30元,1950,Ref004: 6,
光芒万丈(上、下册),柯蓝、赵自,群育,10月,,,,0.40元,1950,Ref004: 6,
光荣人家,凌杏邨,动力,10月,,,,0.30元,1950,Ref004: 7,
光荣夫妻,江逸飞,福记,11月,,,,0.32元,1950,Ref004: 7,
光荣的小通讯员,陆之光,一迅,12月,,,,0.25元,1950,Ref004: 7,
光荣的参军,超然、李治中,全球,10月,,,,0.15元,1950,Ref004: 7,
光荣归来,叶亭,五丰,12月,,,,0.32元,1950,Ref004: 7,
舟山惨案,徐甫堡,群育,10月,,,,0.18元,1950,Ref004: 7,
吃喜酒,汪继声、范志泉,兴华,11月,,,,0.26元,1950,Ref004: 7,
同病不相怜（上、中、下）,,全球,10月,,,,1.44元,1950,Ref004: 7,
朱元璋传（八册）,吴晗、严绍唐,联益社,9月,,,,2.20元,1950,Ref004: 7,
朱痕记,张令涛、胡若佛,河北人民,,,,,,1950,Ref004: 7,
夺来的枪,朱田、洪荫培,灯塔,12月,,,,0.20元,1950,Ref004: 7,
闯王外史（上、中、下）,徐良士、凌涛,联益社,,,,,,1950,Ref004: 7,
闯王遗恨（上、下）,严绍唐,同康,10月,,,,0.64元,1950,Ref004: 7,
血溅鸳鸯楼（上、下）,吴赞,华商,12月,,,,0.96元,1950,Ref004: 7,
刘宝善,宋书盦,平原省文联,10月,,,,0.10元,1950,Ref004: 7,
刘二娃,陈履平、汪健,人民书报,8月,,,,0.28元,1950,Ref004: 7,
刘小七的转变,陆田,宏大,9月,,,,0.16元,1950,Ref004: 7,
"刘巧团圆（上,下）",徐宏达,全球,7月,,,,0.60元,1950,Ref004: 7,
刘老娘接生记,莫思孟、陈江枫,华东书店,9月,,,,0.30元,1950,Ref004: 7,
刘胡兰,曹世琦,读者,2月,,,,0.20元,1950,Ref004: 7,
刘胡兰,冯真、邓澍,大众图画,8月,,,,0.26元,1950,Ref004: 7,
刘胡兰,吕琳,新华,7月,,55,,0.21元,1950,Ref004: 7,
刘胡兰（三册）,何公超,灯塔,6月,,,,0.60元,1950,Ref004: 7,
刘胡兰的故事,陈江风,华东书店,3月,,,,0.25元,1950,Ref004: 7,
刘福来买田,朱然、金泉源,兴华,10月,,,,0.26元,1950,Ref004: 7,
刘寡妇结婚,马思帆、卢汶,胜利,12月,,,,0.27元,1950,Ref004: 7,
刘寡妇结婚,刘溪,东北新华,5月,,,,0.60元,1950,Ref004: 7,
团的儿子,江栋良,教育,2月,,,,0.24元,1950,Ref004: 7,
团结就是力量,黄海阴、李栋,勤进,,,,,0.30元,1950,Ref004: 7,
当（上、下）,绍唐,华商,,,,,,1950,Ref004: 7,
传家宝,王俊生、黄海澄,华商,9月,,,,0.26元,1950,Ref004: 7,
过去我们为啥穷,江帆,大东,10月,,,,0.15元,1950,Ref004: 7,
农民的血汗地主的排场,许桂森,武汉通俗,10月,,,,0.22元,1950,Ref004: 7,
农妇代表张老太太,杨锦文、沈德裕,华明,,,,,0.30元,1950,Ref004: 7,
买公债,盾心,教育,1月,,,,0.10元,1950,Ref004: 7,
妇女代表惠巧英,童汝洲、刘仲文等,华成,10月,,,,0.30元,1950,Ref004: 7,
妇女春秋（上、中、下）,马永华等,全球,,,,,1.44元,1950,Ref004: 7,
伟人安迪生,陈江风,教育,2月,,,,0.28元,1950,Ref004: 7,
伟大的母亲,黄一德,灯塔,9月,,,,0.20元,1950,Ref004: 7,
红了半爿天（上、下册）,章士佼,泰兴,2月,,,,0.56元,1950,Ref004: 7,
红石山,杨朔、黄一德,灯塔,5月,,,,0.30元,1950,Ref004: 7,
红衣女郎,吴其柔、徐甫堡,大众美术,5月,,25,,0.28元,1950,Ref004: 7,
红娘子,任率英,大众美术,5月,,,,0.30元,1950,Ref004: 7,
红娘子,邓泽、董天野,教育,2月,,,,0.30元,1950,Ref004: 7,
红娘子（上、下）,,同康,9月,,,,0.64元,1950,Ref004: 7,
红旗下的女英雄（二册）,朱田、林雪岩,灯塔,11月,,,,0.40元,1950,Ref004: 7,
红旗歌（上、中、下）,吴伧,大公报,4月,,,,1.44元,1950,Ref004: 7,
红旗歌（上、中、下）,鲁煤等,中艺,10月,,,,1.44元,1950,Ref004: 7,
红灯记,张令涛,华东书店,3月,,,,0.25元,1950,Ref004: 7,
红樱枪,汪剑虹、汪健等,东亚,8月,,,,0.32元,1950,Ref004: 7,
军民是一家,新连编绘室,文锋,12月,,,,0.20元,1950,Ref004: 7,
军民合作,黄一德,灯塔,2月,,,,0.30元,1950,Ref004: 7,
吕站长,王若望、胡少飞等,大达,10月,,,,0.30元,1950,Ref004: 7,
好夫妻（上、中、下）,张福祺、程颐,中心,,,,,1.44元,1950,Ref004: 7,
朱门怨（上、中、下）,,全球,10月,,,,1.44元,1950,Ref004: 7,
在静静的卡甫河畔,龚建新,新疆,,,,,,1950,Ref004: 7,
自由花,毕光、罗盘,学林,12月,,,,0.34元,1950,Ref004: 7,
血仇,海涛、吴赞,华商,,,,,0.48元,1950,Ref004: 7,
血肉相亲,姚品章、汪剑虹,文德,12月,,,,0.32元,1950,Ref004: 7,
血尸案,玄常、罗兴,学林,11月,,,,0.45元,1950,Ref004: 7,
血海深仇,朱菲、朱雷,五华,12月,,,,0.32元,1950,Ref004: 7,
血泪仇（上、下）,赵宏本,教育,3月,,,,0.60元,1950,Ref004: 7,
血泪恩情（上、中、下）,张成均、莫思孟等,和平,12月,,,,0.30元,1950,Ref004: 7,
血溅姊妹花,张福祺、程颐,中心,,,,,1.44元,1950,Ref004: 7,
全家殉国（上、下）,勤进,,,,,,,1950,Ref004: 7,
全家搞生产,钱笑呆,文德,7月,,,,0.30元,1950,Ref004: 8,
全部三国志（九册）,严绍唐,东亚,9月,,,,3.60元,1950,Ref004: 8,
宋江三打祝家庄,张令涛、黄一德,华东书店,1月,,,,0.25元,1950,Ref004: 8,
沈家姊妹（上、下）,福记,,12月,,,,0.96元,1950,Ref004: 8,
没有弦的手榴弹,陈履平,教育,9月,,,,0.30元,1950,Ref004: 8,
没有开出的列车,日新、张浩等,华商,8月,,,,0.26元,1950,Ref004: 8,
没有懒汉的计家屯,周立波、卢汶等,华东新华,7月,,,,0.29元,1950,Ref004: 8,
快活林,赵宏本、卢世澄等,人民书报,8月,,,,0.57元,1950,Ref004: 8,
冷热病（上、下）,曹庆善,联华,10月,,,,0.96元,1950,Ref004: 8,
走娘家,唐静英、罗既张等,人民书报,12月,,,,0.26元,1950,Ref004: 8,
赤叶河（上册）,玄常、何仲达,学林,12月,,,,0.64元,1950,Ref004: 8,
抗美援朝漫画,中原大学文艺学院美术系,通俗图书,12月,,,,0.23元,1950,Ref004: 8,
抗战八年,赵伯衡,广益,5月,,,,0.40元,1950,Ref004: 8,
折聚英,张鹤云,山东新华,6月,,,,0.26元,1950,Ref004: 8,
杜大嫂翻身,秀夫,群众书店,9月,,,,0.26元,1950,Ref004: 8,
杜老汉,新连编绘室,泰记,12月,,,,0.32元,1950,Ref004: 8,
村仇,红叶、张国珍,联益社,6月,,,,0.44元,1950,Ref004: 8,
李小三挑野菜,钱予凡、邱小玉等,华成,12月,,,,0.30元,1950,Ref004: 8,
李有才、小二黑,罗工柳、张映雪,晨光,10月,,,,0.20元,1950,Ref004: 8,
李存孝（上、中、下）,赵宏本,美华,11月,,,,1.28元,1950,Ref004: 8,
李秀成,黄一德,灯塔,8月,,,,0.18元,1950,Ref004: 8,
李秀成,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 8,
李阿毛与僵尸（上、中、下）,李治中,全球,11月,,,,1.44元,1950,Ref004: 8,
李勇大摆地雷阵,王一丁、胡若佛,五星,7月,,,,0.30元,1950,Ref004: 8,
李香君,赵景深,三民,10月,,,,0.20元,1950,Ref004: 8,
李香娜的婚姻,胡少飞、李杰,五丰,10月,,,,0.30元,1950,Ref004: 8,
李福泰献古钱,杨汶、王一菲,宝山,10月,,,,0.32元,1950,Ref004: 8,
李广和回家,汪健、邱小玉等,兴华,10月,,,,0.32元,1950,Ref004: 8,
李凤金,董坚志、程十发,新潮,11月,,,,0.20元,1950,Ref004: 8,
李德才苦史,汪健、李祖源,人民书报,7月,,,,0.22元,1950,Ref004: 8,
李闯王,黄一德、铁夫,灯塔,5月,,,,0.20元,1950,Ref004: 8,
邪气肃清,江丰、张怀江等,大众美术,10月,,,,0.32元,1950,Ref004: 8,
改造二流子,方炯,华东书店,1月,,,,0.25元,1950,Ref004: 8,
改造大烟鬼,红叶、张国珍,联益社,7月,,,,0.30元,1950,Ref004: 8,
改造小阿飞,野龙、张逸苇,华东书店,9月,,,,0.30元,1950,Ref004: 8,
改造后的大龙,卢汶,同康,12月,,,,0.32元,1950,Ref004: 8,
改造,方生、罗兴,学林,6月,,,,0.32元,1950,Ref004: 8,
改造懒汉,钱笑呆,惜阴,12月,,,,0.32元,1950,Ref004: 8,
迎春曲（上、下册）,颜梅华、李治中,苦干社,,,,,,1950,Ref004: 8,
迎风飘扬,陈模、蔡杰,宝山,9月,,,,0.30元,1950,Ref004: 8,
近视眼,,美华,9月,,,,0.36元,1950,Ref004: 8,
两村恩仇记,王俊全、王木天,华东书店,6月,,,,0.25元,1950,Ref004: 8,
乱世英雄（上、中、下）,国华影片公司,全球,11月,,,,1.44元,1950,Ref004: 8,
妙计,姚品章,全球,12月,,,,0.32元,1950,Ref004: 8,
劳动女英雄,曹平、季怡,志成,9月,,,,0.30元,1950,Ref004: 8,
劳动英雄赵占魁,萧萧,新华,5月,,,,0.19元,1950,Ref004: 8,
陈圆圆,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 8,
男女工友的英勇斗争(1-3),黄一德,灯塔,7月,,,,0.18元,1950,Ref004: 8,
吸血的恶魔,黄坚志、叶子画室,新潮,11月,,,,0.20元,1950,Ref004: 8,
穷人恨,王祖元,勤进,10月,,,,0.48元,1950,Ref004: 8,
希望在人间（上、中、下）,张福祺、程颐,中心,10月,,,,1.44元,1950,Ref004: 8,
我的转变,王达佛,火花,12月,,,,0.34元,1950,Ref004: 8,
我们不愿做奴隶（上、下册）,严绍唐,东亚,,,,,,1950,Ref004: 8,
我们的连长,方生、顾炳鑫,学林,9月,,,,0.64元,1950,Ref004: 8,
我这一辈子（上、中、下）,老舍、张福祺等,中心,10月,,,,1.44元,1950,Ref004: 8,
何花秀,秦兆阳,泰兴,8月,,,,0.28元,1950,Ref004: 8,
何桂芳受苦,王鸣槐、陈丹旭等,群育,12月,,,,0.30元,1950,Ref004: 8,
何处是家乡,庄稼、李紫霞,久义,9月,,,,0.30元,1950,Ref004: 8,
狄青,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 8,
阿列沙旅行记,罗兴、毕光,学林,12月,,,,0.34元,1950,Ref004: 8,
阿祥捉周仓,丁华铭、吕品等,兴华,10月,,,,0.26元,1950,Ref004: 8,
阻击线上,新连编绘室,胜利,9月,,,,0.30元,1950,Ref004: 8,
花木兰,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 9,
花木兰,黄一德、铁夫,灯塔,5月,,,,0.20元,1950,Ref004: 9,
花莲港（上、中、下）,张福祺、程颐,中心,,,,,1.44元,1950,Ref004: 9,
芦花荡,冯墨农,同康,12月,,,,0.32元,1950,Ref004: 9,
苏武,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 9,
苏联集体农场,,新华,9月,,,,0.37元,1950,Ref004: 9,
抢救未来的主人翁（上、下）,王祖元,勤进,,,,,0.67元,1950,Ref004: 9,
抢亲,郑明辉、陆之光,泰兴,9月,,,,0.43元,1950,Ref004: 9,
抢粮,田舍郎、金戈,新民,10月,,,,0.30元,1950,Ref004: 9,
杨小林结婚,徐宏达,教育,3月,,,,0.30元,1950,Ref004: 9,
护厂斗争,赵宏本,大东,10月,,,,0.22元,1950,Ref004: 9,
张秀云,铁流,山东新华,9月,,15,,0.48元,1950,Ref004: 9,
张家庄生产救灾,希坚、赵宏本等,华东新华,7月,,,,0.26元,1950,Ref004: 9,
连环套,徐淦、董天野,民众,10月,,,,0.12元,1950,Ref004: 9,
坚定的人,江帆、李宇翔,红星,9月,,,,0.32元,1950,Ref004: 9,
坏地主的下场,李卉、田民,五星,10月,,,,0.30元,1950,Ref004: 9,
状元府,仇学纯、汪剑虹等,益华,11月,,,,0.30元,1950,Ref004: 9,
鸡毛信（上册）,华山、刘继卣,大众图画,9月,,,,0.32元,1950,Ref004: 9,
矿山的主人,顾炳鑫,泰兴书局,9月,,,,,1950,Ref004: 9,
爸爸有了希望,陈子良、影泉,兄弟图书,12月,,,,0.19元,1950,Ref004: 9,
牧童报仇,陆君平、陈江风,华东书店,6月,,,,0.25元,1950,Ref004: 9,
和平歌,罗泰、靳夕等,电化教育,12月,,,,0.35元,1950,Ref004: 9,
和尚尼姑大结亲,季怡、金泉源,华商,7月,,,,0.26元,1950,Ref004: 9,
周六老汉的新年,钱少华方炯,华东书店,6月,,,,0.25元,1950,Ref004: 9,
周铁汉,徐光耀、徐宏达等,人民书报,8月,,,,0.48元,1950,Ref004: 9,
岳飞,黄一德、胡若佛,儿童良友社,11月,,,,0.16元,1950,Ref004: 9,
岳飞,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 9,
金日成将军,王洛平、顾炳鑫,群育,11月,,,,0.20元,1950,Ref004: 9,
金田起义,张金锜、程十发,立化,11月,,,,0.34元,1950,Ref004: 9,
金耳环,钱予凡,五华,10月,,,,0.30元,1950,Ref004: 9,
金弟,黎鲁,华东画报,9月,,,,,1950,Ref004: 9,
金宝娘,马锋、邢琏,大众图画,9月,,100,,0.27元,1950,Ref004: 9,
金银宝岛（上、下册）,苏联儿童电影厂,同康,10月,,,,0.96元,1950,Ref004: 9,
拖拉机收麦子,葛力群等,新华,11月,,,,0.24元,1950,Ref004: 9,
松花江上（上、下册）,汪玉山,泰兴,5月,,,,0.56元,1950,Ref004: 9,
奇异的世界（上、下册）,章士佼,泰兴,5月,,,,0.51元,1950,Ref004: 9,
河渠解密,伞拾伊、王上,昱兴,10月,,37,,2.08元,1950,Ref004: 9,
到东北去,伊任、凌杏邨,动力,12月,,,,0.26元,1950,Ref004: 9,
居礼夫人,刘一蒙,教育,2月,,,,,1950,Ref004: 9,
孟姜女,徐淦、王叔晖,大众图画,12月,,73,,0.34元,1950,Ref004: 9,
孟祥英翻身,孙风,教育,3月,,,,0.24元,1950,Ref004: 9,
孤儿从军记,章士佼,泰兴,5月,,,,0.46元,1950,Ref004: 9,
孤胆英雄（上、下）,白丁,宝山,9月,,,,0.60元,1950,Ref004: 9,
孤岛歌声（上、中、下）,张福祺、程颐,中心,9月,,,,1.44元,1950,Ref004: 9,
放远眼光买公债,野夫、陈烟桥,大众美术,1月,,,,0.15元,1950,Ref004: 9,
夜夜下西庄,庄稼、李紫霞等,金荣,11月,,,,0.30元,1950,Ref004: 9,
夜明珠（上、中、下）,李治中,全球,10月,,,,1.44元,1950,Ref004: 9,
青山血泪,张福祺、程颐,中心,9月,,,,0.96元,1950,Ref004: 9,
青灯怨（上、中、下）,叶达华,美联,9月,,,,1.50元,1950,Ref004: 9,
武大郎之死,张浩,兴华,12月,,,,0.32元,1950,Ref004: 9,
武松与潘金莲（上、下）,赵宏本,美华,9月,,,,1.00元,1950,Ref004: 9,
武训,江丰等,大众美术,5月,,,,0.32元,1950,Ref004: 9,
武训画传,李士钊、孙㑺之,万叶,,,,,,1950,Ref004: 9,
郑成功,钱长龄,三民,10月,,,,0.20元,1950,Ref004: 9,
学习、生产、休息,,新华,9月,,,,0.24元,1950,Ref004: 9,
卖鱼郎,汪健、汪静星,泰兴,11月,,,,0.28元,1950,Ref004: 9,
炉头老李哥,杨学勤、苏坚,大众美术,5月,,,,0.20元,1950,Ref004: 9,
炉头老李哥,苏坚,昆明新华,5月,,,,0.18元,1950,Ref004: 9,
虎口馀生,汪剑青、汪静星,人文,12月,,,,0.24元,1950,Ref004: 9,
虎符（上、下册）,严绍唐、张国珍,东亚,,,,,0.65元,1950,Ref004: 9,
贫农英雄,朱然,金昌,11月,,,,0.30元,1950,Ref004: 9,
侦察员的故事,徐淦,教育,9月,,,,0.20元,1950,Ref004: 9,
柳金妹翻身,,实用,9月,,,,0.30元,1950,Ref004: 9,
柳浪闻莺（上、下）,王祖元,勤进,,,,,,1950,Ref004: 9,
现代青年（上、中、下）,,全球,11月,,,,1.44元,1950,Ref004: 9,
现代海军兵器,席文成、葛辛,大众科学社,10月,,,,0.30元,1950,Ref004: 9,
转变,刘瑾、江风,五星,12月,,,,0.20元,1950,Ref004: 10,
变,陈履捷、马健,兴华,11月,,,,0.26元,1950,Ref004: 10,
兔和猫,鲁迅作、麦杆刻,教育,3月,,,,0.20元,1950,Ref004: 10,
轰出去（上、下册）,钱笑呆,全球,,,,,,1950,Ref004: 10,
废铁炼成钢,季怡、罗既张,文德,6月,,,,0.30元,1950,Ref004: 10,
艰苦中成长的女英雄,严萍,福记,11月,,,,0.32元,1950,Ref004: 10,
“炭古佬”当县长,王从周编、蔡人燕绘,上海人美,1月,,,,0.12元,1950,Ref004: 10,
茅山除蟒,蒋萍,上海人美,,,,,0.30元,1950,Ref004: 10,
苦女翻身,野鹤、杨锦文,五华,8月,,,,0.30元,1950,Ref004: 10,
苦从何来,蔡若虹,新华,11月,,,,0.30元,1950,Ref004: 10,
苦尽甘来,李宇翔,火花,12月,,,,0.27元,1950,Ref004: 10,
英雄小八路,王仲清,华东新华,10月,,,,0.31元,1950,Ref004: 10,
英雄小八路,北京市人民美术工作室,大众图画,11月,,110,,0.27元,1950,Ref004: 10,
英雄不屈的斗争,赵文渭,劳动,12月,,,,0.27元,1950,Ref004: 10,
英雄立功记,洛井,群育,12月,,,,0.30元,1950,Ref004: 10,
英雄回家,姚品章、鲁少飞,文德,12月,,,,0.32元,1950,Ref004: 10,
英雄伴侣,吴彭年,同康,10月,,,,0.30元,1950,Ref004: 10,
英雄的小拴,汪剑青,泰兴,12月,,,,0.28元,1950,Ref004: 10,
英雄的爸爸,宏本,教育,3月,,,,0.30元,1950,Ref004: 10,
英雄的娘,姚有信,福记,12月,,,,0.25元,1950,Ref004: 10,
英雄气概,刘锡永、刘一德,灯塔,12月,,,,0.32元,1950,Ref004: 10,
英雄伟迹,施立民,福记,11月,,,,0.32元,1950,Ref004: 10,
英雄复仇（上、下册）,笔如花,东亚,,,,,,1950,Ref004: 10,
英雄刘四虎,西北军政文工团,华东新华,1月,,,,0.20元,1950,Ref004: 10,
英雄刘四虎,阎风,大众图画,12月,,,,0.55元,1950,Ref004: 10,
思想问题（上、中、下）,文艺宣传股,美华,10月,,,,1.44元,1950,Ref004: 10,
哈尔滨的一夜,徐淦、韩敏,教育,10月,,,,0.16元,1950,Ref004: 10,
看美国兵在朝鲜,王星北、麦杆,北斗,12月,,,,0.18元,1950,Ref004: 10,
怎样带娃娃,方元,大众科学社,8月,,,,0.30元,1950,Ref004: 10,
怎样认识美国,王达佛,火花,12月,,,,0.18元,1950,Ref004: 10,
秋瑾,初步社,教育,2月,,,,0.16元,1950,Ref004: 10,
重见光明（上、下）,笔如花,胜利,11月,,,,0.58元,1950,Ref004: 10,
重新做人,正志,,,,,,,1950,Ref004: 10,
重逢,黄仁路,美华,9月,,,,0.30元,1950,Ref004: 10,
香妃（上、中、下）,戴玲,美华,9月,,,,1.44元,1950,Ref004: 10,
赵家园的变迁,方正、罗盘,学林,9月,,,,0.24元,1950,Ref004: 10,
赵国有,王鸿,工人,5月,,,,0.25元,1950,Ref004: 10,
洋铁桶的故事（三册）,陈江风、黄一德,华东书店,1月,,,,0.75元,1950,Ref004: 10,
洪秀全,汝湘、张龟年等,文德,4月,,,,0.37元,1950,Ref004: 10,
洪秀全,黄且为,灯塔,8月,,,,0.18元,1950,Ref004: 10,
洪杨革命,董天野等,群联,10月,,,,0.30元,1950,Ref004: 10,
洞房花烛夜（上、下）,徐正平,宝山,,,,,0.60元,1950,Ref004: 10,
活捉爸爸,钱予凡、唐斌灿,兴华,12月,,,,0.26元,1950,Ref004: 10,
活捉“窜山虎”,田舍郎、金戈,新民,7月,,,,0.30元,1950,Ref004: 10,
活该,姚品章、罗既张,文德,11月,,,,0.32元,1950,Ref004: 10,
恨儿,汪健等,惜阴,8月,,,,0.30元,1950,Ref004: 10,
神经公爵（上、中、下）,,全球,7月,,,,1.08元,1950,Ref004: 10,
祝公案（四册）,小玉伶,文德,2月,,,,1.50元,1950,Ref004: 10,
祝由科王半仙改行,郑明辉、徐馀兴等,大方,12月,,,,0.30元,1950,Ref004: 10,
美帝侵略朝鲜的失败,王方,香港大公报,8月,,,,0.30元,1950,Ref004: 10,
美帝侵华史,池星,教育,11月,,,,0.25元,1950,Ref004: 10,
美帝侵华百年血史,中国人民保卫世界和平反对美国侵略委员会,,12月,,,,0.06元,1950,Ref004: 10,
美帝侵华血史,中华全国美术工作者协会上海分会,华东新华,11月,,,,0.11元,1950,Ref004: 10,
美帝滚出去,吕再良,同康,12月,,,,0.25元,1950,Ref004: 10,
美国之音,文治平、王白水,泰兴,11月,,,,0.32元,1950,Ref004: 10,
美国之音（上、中、下）,拉夫列岛夫,学林,10月,,,,1.20元,1950,Ref004: 10,
美国水手自传,文北、文西,兄弟图书,12月,,,,0.17元,1950,Ref004: 10,
美国兵在上海,新连编绘室,泰记,12月,,,,0.32元,1950,Ref004: 10,
美国兵的兽行,蒋宾泉、新连编绘室,新连,12月,,,,0.30元,1950,Ref004: 10,
美国强盗在中国,群联出版社、江栋良,群联,12月,,,,0.20元,1950,Ref004: 11,
美国侵华史画,福建省中苏友协,福建省中苏友好,11月,,,,,1950,Ref004: 11,
俞小毛,汪伟光,民众,10月,,,,0.34元,1950,Ref004: 11,
战地鼾声,凌杏邨,兴华,11月,,,,0.26元,1950,Ref004: 11,
战斗英雄,徐良士、陈光镒,美华,12月,,,,0.60元,1950,Ref004: 11,
战斗英雄陈宝富,徐光、赵文渭,群育,10月,,,,0.18元,1950,Ref004: 11,
战斗模范崔汉卿,江丰、徐甫堡,大众美术,10月,,,,0.31元,1950,Ref004: 11,
钢筋铁骨,朱怀新、俞云阶,学林,8月,,,,0.54元,1950,Ref004: 11,
钢铁的手,,中南新华,2月,,,,0.16元,1950,Ref004: 11,
钢铁的妈妈,苗培时、田零,工人,9月,,,,0.50元,1950,Ref004: 11,
钢铁英雄（上、下）,洪凤,学林,4月,,,,0.90元,1950,Ref004: 11,
钢铁是怎样炼成的（上、下）,王景球、杨祖述等,大众美术,6月,,,,0.28元,1950,Ref004: 11,
春天,曹振峰,知识,5月,,,,0.20元,1950,Ref004: 11,
春风秋雨（上、中、下）,方生,学林,12月,,,,1.44元,1950,Ref004: 11,
春云离婚,施琦平,群育,10月,,,,0.22元,1950,Ref004: 11,
革命大姐,蒋萍,久义,10月,,,,0.30元,1950,Ref004: 11,
革命的果实,姚品章、蒋萍,文德,9月,,,,0.30元,1950,Ref004: 11,
南冠草,杨静文等,东亚,,,,,0.56元,1950,Ref004: 11,
送礼,汪剑青,福记,12月,,,,0.25元,1950,Ref004: 11,
迷信的故事,徐淦,教育,2月,,,,0.30元,1950,Ref004: 11,
迷信杀人,钱笑呆,联益社,9月,,,,0.33元,1950,Ref004: 11,
逃到自由区,张坡,民众,9月,,,,0.30元,1950,Ref004: 11,
侯五嫂,陆继光、钱江,全球,8月,,,,0.30元,1950,Ref004: 11,
侯哥弹和他的少年队,徐淦、吴为,大众图画,11月,,87,,0.33元,1950,Ref004: 11,
保粮英雄阎荣堂,汪健、汪玉山等,人民书报,8月,,,,0.30元,1950,Ref004: 11,
保卫和平,田星,群育,10月,,,,0.25元,1950,Ref004: 11,
